n,1/n,log2(n),n^0.51,12*sqrt(n),50*n^0.5,n*log2(n),n^2 - 324,100n^2 + 6n,2n^3,n^log2(n),3^n,2^(32n)
32.0000,-5.000000,2.321928,2.550000,6.084963,8.143856,7.321928,9.451211,16.646559,16.000000,25.000000,50.718800,1024.000000
38.0546,-5.250000,2.392317,2.677500,6.209963,8.268856,7.642317,10.134625,17.146129,16.750000,27.562500,60.315158,1217.748086
45.2548,-5.500000,2.459432,2.805000,6.334963,8.393856,7.959432,10.751544,17.645768,17.500000,30.250000,71.727215,1448.154688
53.8174,-5.750000,2.523562,2.932500,6.459963,8.518856,8.273562,11.328848,18.145464,18.250000,33.062500,85.298514,1722.155858
64.0000,-6.000000,2.584963,3.060000,6.584963,8.643856,8.584963,11.881114,18.645208,19.000000,36.000000,101.437600,2048.000000
76.1093,-6.250000,2.643856,3.187500,6.709963,8.768856,8.893856,12.416961,19.144993,19.750000,39.062500,120.630316,2435.496172
90.5097,-6.500000,2.700440,3.315000,6.834963,8.893856,9.200440,12.941781,19.644812,20.500000,42.250000,143.454430,2896.309376
107.6347,-6.750000,2.754888,3.442500,6.959963,9.018856,9.504888,13.459078,20.144660,21.250000,45.562500,170.597029,3444.311717
128.0000,-7.000000,2.807355,3.570000,7.084963,9.143856,9.807355,13.971184,20.644532,22.000000,49.000000,202.875200,4096.000000
152.2185,-7.250000,2.857981,3.697500,7.209963,9.268856,10.107981,14.479684,21.144425,22.750000,52.562500,241.260631,4870.992343
181.0193,-7.500000,2.906891,3.825000,7.334963,9.393856,10.406891,14.985664,21.644334,23.500000,56.250000,286.908859,5792.618751
215.2695,-7.750000,2.954196,3.952500,7.459963,9.518856,10.704196,15.489878,22.144258,24.250000,60.062500,341.194057,6888.623434
256.0000,-8.000000,3.000000,4.080000,7.584963,9.643856,11.000000,15.992850,22.644194,25.000000,64.000000,405.750400,8192.000000
304.4370,-8.250000,3.044394,4.207500,7.709963,9.768856,11.294394,16.494948,23.144140,25.750000,68.062500,482.521263,9741.984686
362.0387,-8.500000,3.087463,4.335000,7.834963,9.893856,11.587463,16.996429,23.644095,26.500000,72.250000,573.817719,11585.237503
430.5390,-8.750000,3.129283,4.462500,7.959963,10.018856,11.879283,17.497476,24.144057,27.250000,76.562500,682.388114,13777.246868
512.0000,-9.000000,3.169925,4.590000,8.084963,10.143856,12.169925,17.998216,24.644025,28.000000,81.000000,811.500800,16384.000000
608.8740,-9.250000,3.209453,4.717500,8.209963,10.268856,12.459453,18.498739,25.143998,28.750000,85.562500,965.042526,19483.969372
724.0773,-9.500000,3.247928,4.845000,8.334963,10.393856,12.747928,18.999108,25.643976,29.500000,90.250000,1147.635438,23170.475006
861.0779,-9.750000,3.285402,4.972500,8.459963,10.518856,13.035402,19.499369,26.143957,30.250000,95.062500,1364.776228,27554.493735
1024.0000,-10.000000,3.321928,5.100000,8.584963,10.643856,13.321928,19.999554,26.643941,31.000000,100.000000,1623.001601,32768.000000
1217.7481,-10.250000,3.357552,5.227500,8.709963,10.768856,13.607552,20.499685,27.143927,31.750000,105.062500,1930.085051,38967.938744
1448.1547,-10.500000,3.392317,5.355000,8.834963,10.893856,13.892317,20.999777,27.643916,32.500000,110.250000,2295.270876,46340.950012
1722.1559,-10.750000,3.426265,5.482500,8.959963,11.018856,14.176265,21.499842,28.143906,33.250000,115.562500,2729.552456,55108.987470
2048.0000,-11.000000,3.459432,5.610000,9.084963,11.143856,14.459432,21.999889,28.643898,34.000000,121.000000,3246.003201,65536.000000
2435.4962,-11.250000,3.491853,5.737500,9.209963,11.268856,14.741853,22.499921,29.143892,34.750000,126.562500,3860.170103,77935.877489
2896.3094,-11.500000,3.523562,5.865000,9.334963,11.393856,15.023562,22.999944,29.643886,35.500000,132.250000,4590.541751,92681.900024
3444.3117,-11.750000,3.554589,5.992500,9.459963,11.518856,15.304589,23.499961,30.143881,36.250000,138.062500,5459.104912,110217.974940
4096.0000,-12.000000,3.584963,6.120000,9.584963,11.643856,15.584963,23.999972,30.643877,37.000000,144.000000,6492.006403,131072.000000
4870.9923,-12.250000,3.614710,6.247500,9.709963,11.768856,15.864710,24.499980,31.143874,37.750000,150.062500,7720.340205,155871.754978
5792.6188,-12.500000,3.643856,6.375000,9.834963,11.893856,16.143856,24.999986,31.643871,38.500000,156.250000,9181.083502,185363.800047
6888.6234,-12.750000,3.672425,6.502500,9.959963,12.018856,16.422425,25.499990,32.143869,39.250000,162.562500,10918.209824,220435.949880
8192.0000,-13.000000,3.700440,6.630000,10.084963,12.143856,16.700440,25.999993,32.643867,40.000000,169.000000,12984.012806,262144.000000
9741.9847,-13.250000,3.727920,6.757500,10.209963,12.268856,16.977920,26.499995,33.143865,40.750000,175.562500,15440.680410,311743.509955
11585.2375,-13.500000,3.754888,6.885000,10.334963,12.393856,17.254888,26.999997,33.643864,41.500000,182.250000,18362.167004,370727.600095
13777.2469,-13.750000,3.781360,7.012500,10.459963,12.518856,17.531360,27.499998,34.143862,42.250000,189.062500,21836.419648,440871.899761
16384.0000,-14.000000,3.807355,7.140000,10.584963,12.643856,17.807355,27.999998,34.643861,43.000000,196.000000,25968.025612,524288.000000
19483.9694,-14.250000,3.832890,7.267500,10.709963,12.768856,18.082890,28.499999,35.143861,43.750000,203.062500,30881.360820,623487.019911
23170.4750,-14.500000,3.857981,7.395000,10.834963,12.893856,18.357981,28.999999,35.643860,44.500000,210.250000,36724.334008,741455.200189
27554.4937,-14.750000,3.882643,7.522500,10.959963,13.018856,18.632643,29.499999,36.143859,45.250000,217.562500,43672.839296,881743.799521
32768.0000,-15.000000,3.906891,7.650000,11.084963,13.143856,18.906891,30.000000,36.643859,46.000000,225.000000,51936.051224,1048576.000000
