structure,operation,n,avg_time_ns
Unsorted Array,Search,250,187.67
Unsorted Array,Max,250,246.00
Unsorted Array,Min,250,251.00
Unsorted Array,Predecessor,250,359.67
Unsorted Array,Successor,250,273.00
Unsorted Array,Insert,250,20.33
Unsorted Array,Delete,250,21.33
Sorted Array,Search,250,34.33
Sorted Array,Max,250,20.67
Sorted Array,Min,250,21.00
Sorted Array,Predecessor,250,21.00
Sorted Array,Successor,250,20.33
Sorted Array,Insert,250,450.00
Sorted Array,Delete,250,395.00
Unsorted SLL,Search,250,369.00
Unsorted SLL,Max,250,372.00
Unsorted SLL,Min,250,383.67
Unsorted SLL,Predecessor,250,491.00
Unsorted SLL,Successor,250,353.00
Unsorted SLL,Insert,250,46.00
Unsorted SLL,Delete,250,613.00
Sorted SLL,Search,250,359.33
Sorted SLL,Max,250,316.67
Sorted SLL,Min,250,18.67
Sorted SLL,Predecessor,250,357.33
Sorted SLL,Successor,250,20.67
Sorted SLL,Insert,250,612.67
Sorted SLL,Delete,250,570.33
Unsorted DLL,Search,250,359.67
Unsorted DLL,Max,250,340.33
Unsorted DLL,Min,250,334.67
Unsorted DLL,Predecessor,250,574.00
Unsorted DLL,Successor,250,401.33
Unsorted DLL,Insert,250,39.67
Unsorted DLL,Delete,250,33.00
Sorted DLL,Search,250,360.00
Sorted DLL,Max,250,21.33
Sorted DLL,Min,250,18.67
Sorted DLL,Predecessor,250,20.67
Sorted DLL,Successor,250,20.33
Sorted DLL,Insert,250,624.67
Sorted DLL,Delete,250,32.33
Unsorted Array,Search,500,296.67
Unsorted Array,Max,500,427.67
Unsorted Array,Min,500,456.33
Unsorted Array,Predecessor,500,446.67
Unsorted Array,Successor,500,864.00
Unsorted Array,Insert,500,19.00
Unsorted Array,Delete,500,21.33
Sorted Array,Search,500,35.00
Sorted Array,Max,500,20.00
Sorted Array,Min,500,21.33
Sorted Array,Predecessor,500,21.00
Sorted Array,Successor,500,21.00
Sorted Array,Insert,500,666.00
Sorted Array,Delete,500,626.33
Unsorted SLL,Search,500,704.00
Unsorted SLL,Max,500,634.33
Unsorted SLL,Min,500,646.67
Unsorted SLL,Predecessor,500,729.67
Unsorted SLL,Successor,500,654.67
Unsorted SLL,Insert,500,43.00
Unsorted SLL,Delete,500,901.67
Sorted SLL,Search,500,713.67
Sorted SLL,Max,500,609.67
Sorted SLL,Min,500,20.33
Sorted SLL,Predecessor,500,719.33
Sorted SLL,Successor,500,19.67
Sorted SLL,Insert,500,1022.67
Sorted SLL,Delete,500,947.33
Unsorted DLL,Search,500,679.67
Unsorted DLL,Max,500,678.33
Unsorted DLL,Min,500,650.00
Unsorted DLL,Predecessor,500,1076.00
Unsorted DLL,Successor,500,818.67
Unsorted DLL,Insert,500,43.67
Unsorted DLL,Delete,500,32.67
Sorted DLL,Search,500,690.00
Sorted DLL,Max,500,20.67
Sorted DLL,Min,500,18.33
Sorted DLL,Predecessor,500,21.00
Sorted DLL,Successor,500,20.00
Sorted DLL,Insert,500,968.00
Sorted DLL,Delete,500,33.33
Unsorted Array,Search,1000,654.33
Unsorted Array,Max,1000,1066.33
Unsorted Array,Min,1000,1018.67
Unsorted Array,Predecessor,1000,1832.33
Unsorted Array,Successor,1000,934.33
Unsorted Array,Insert,1000,21.67
Unsorted Array,Delete,1000,21.67
Sorted Array,Search,1000,38.33
Sorted Array,Max,1000,21.33
Sorted Array,Min,1000,21.00
Sorted Array,Predecessor,1000,20.00
Sorted Array,Successor,1000,21.00
Sorted Array,Insert,1000,1106.00
Sorted Array,Delete,1000,1097.67
Unsorted SLL,Search,1000,1371.33
Unsorted SLL,Max,1000,1239.33
Unsorted SLL,Min,1000,1270.67
Unsorted SLL,Predecessor,1000,1419.67
Unsorted SLL,Successor,1000,1779.33
Unsorted SLL,Insert,1000,50.00
Unsorted SLL,Delete,1000,1674.33
Sorted SLL,Search,1000,1415.67
Sorted SLL,Max,1000,1497.00
Sorted SLL,Min,1000,21.67
Sorted SLL,Predecessor,1000,1378.00
Sorted SLL,Successor,1000,20.33
Sorted SLL,Insert,1000,1776.00
Sorted SLL,Delete,1000,1596.00
Unsorted DLL,Search,1000,1361.67
Unsorted DLL,Max,1000,1266.33
Unsorted DLL,Min,1000,1320.00
Unsorted DLL,Predecessor,1000,1420.00
Unsorted DLL,Successor,1000,1354.67
Unsorted DLL,Insert,1000,48.00
Unsorted DLL,Delete,1000,31.00
Sorted DLL,Search,1000,1397.67
Sorted DLL,Max,1000,21.00
Sorted DLL,Min,1000,19.67
Sorted DLL,Predecessor,1000,20.00
Sorted DLL,Successor,1000,21.00
Sorted DLL,Insert,1000,1823.67
Sorted DLL,Delete,1000,33.00
Unsorted Array,Search,2000,1116.67
Unsorted Array,Max,2000,1580.67
Unsorted Array,Min,2000,1581.00
Unsorted Array,Predecessor,2000,3362.67
Unsorted Array,Successor,2000,3336.67
Unsorted Array,Insert,2000,25.00
Unsorted Array,Delete,2000,20.67
Sorted Array,Search,2000,49.00
Sorted Array,Max,2000,22.00
Sorted Array,Min,2000,20.67
Sorted Array,Predecessor,2000,21.33
Sorted Array,Successor,2000,21.00
Sorted Array,Insert,2000,2047.33
Sorted Array,Delete,2000,2043.67
Unsorted SLL,Search,2000,4937.00
Unsorted SLL,Max,2000,4734.67
Unsorted SLL,Min,2000,4949.00
Unsorted SLL,Predecessor,2000,5384.00
Unsorted SLL,Successor,2000,5449.67
Unsorted SLL,Insert,2000,44.67
Unsorted SLL,Delete,2000,5861.67
Sorted SLL,Search,2000,5190.33
Sorted SLL,Max,2000,4951.00
Sorted SLL,Min,2000,19.67
Sorted SLL,Predecessor,2000,5195.67
Sorted SLL,Successor,2000,21.33
Sorted SLL,Insert,2000,5457.00
Sorted SLL,Delete,2000,6030.33
Unsorted DLL,Search,2000,4399.00
Unsorted DLL,Max,2000,4164.67
Unsorted DLL,Min,2000,4153.00
Unsorted DLL,Predecessor,2000,4662.33
Unsorted DLL,Successor,2000,4883.00
Unsorted DLL,Insert,2000,37.33
Unsorted DLL,Delete,2000,32.33
Sorted DLL,Search,2000,5615.33
Sorted DLL,Max,2000,20.33
Sorted DLL,Min,2000,19.00
Sorted DLL,Predecessor,2000,21.00
Sorted DLL,Successor,2000,20.00
Sorted DLL,Insert,2000,5357.33
Sorted DLL,Delete,2000,33.33
Unsorted Array,Search,4000,2849.67
Unsorted Array,Max,4000,5267.33
Unsorted Array,Min,4000,3745.67
Unsorted Array,Predecessor,4000,5980.33
Unsorted Array,Successor,4000,6544.00
Unsorted Array,Insert,4000,21.67
Unsorted Array,Delete,4000,20.67
Sorted Array,Search,4000,48.00
Sorted Array,Max,4000,21.00
Sorted Array,Min,4000,21.33
Sorted Array,Predecessor,4000,20.33
Sorted Array,Successor,4000,20.00
Sorted Array,Insert,4000,3994.67
Sorted Array,Delete,4000,3224.33
Unsorted SLL,Search,4000,9658.67
Unsorted SLL,Max,4000,10409.67
